Long_X,Lat_Y
-96.23261109000,37.87830559000
-95.14682688000,39.78823052000
-97.65063122000,39.82802392000
-100.45990796000,39.78510569000
-99.34703017000,39.78493260000
-96.15264367000,38.45674951000
-101.79127051000,37.99963107000
-101.76358082000,38.91700124000
-96.73535445000,39.29703883000
-99.31723721000,38.91509268000
-98.73960439000,37.64795292000
-100.46641031000,38.48164164000
-99.87274151000,38.91466558000
-101.80597702000,38.48087319000
-97.64808881000,38.39200083000
-96.83749765000,37.23813610000
-95.72694862000,38.65266731000
-97.09695121000,38.35928918000
-99.30924989000,38.52337743000
-101.78419351000,37.56327160000
-95.28595374000,38.56473560000
-96.34239265000,39.37925724000
-101.71998917000,39.35177802000
-95.30139326000,37.88589977000
-95.29758300000,37.19157907000
-94.82225025000,38.88392952000
-94.84627745000,37.16950441000
-101.73111357000,39.78621848000
-95.31346777000,39.53184762000
-97.64929053000,39.48052097000
-96.75257350000,39.00254252000
-98.76235807000,38.91512116000
-98.75647294000,38.47929991000
-95.75659320000,39.04173891000
-96.83907217000,37.78190778000
-98.21834952000,39.78508314000
-98.20937254000,39.39348943000
-100.90686958000,38.48250389000
-101.31205598000,37.19257806000
-95.29264010000,38.88482506000
-99.27188007000,37.19152970000
-99.23680521000,38.18152353000
-94.76449132000,39.11469164000
-99.88325918000,39.35006136000
-101.79926117000,37.19166008000
-97.47655989000,37.23765917000
-94.83806266000,38.56380172000
-100.48291167000,38.91643337000
-99.88796119000,37.69204086000
-95.30679972000,37.55869622000
-94.84293620000,38.21249063000
-95.56422743000,39.82672540000
-94.84930108000,37.85545629000
-97.16517898000,39.35006019000
-98.20770839000,39.04554990000
-98.78548161000,39.78550618000
-96.64987308000,38.68763451000
-98.68482657000,37.22920135000
-101.14839866000,38.91767453000
-96.59392803000,38.30237857000
-94.85182137000,37.50750854000
-95.74017455000,37.88683528000
-95.38346062000,39.23601439000
-101.07571353000,39.78559068000
-101.05554054000,39.35131251000
-97.65022444000,39.13275989000
-98.20104055000,38.34736157000
-99.91619059000,38.47975338000
-95.74339716000,37.55945174000
-98.76799667000,39.35067868000
-99.82032748000,37.23589437000
-100.87120086000,37.56246123000
-97.64994049000,38.78402616000
-98.13633951000,37.55909490000
-98.71741356000,38.03133377000
-97.15272401000,38.86697705000
-100.73683134000,38.04474601000
-95.74288547000,37.19277676000
-99.31222472000,37.88782894000
-97.42727931000,38.04334212000
-100.44184086000,39.35070223000
-99.28605697000,37.55847737000
-98.07550371000,37.19185867000
-97.08755198000,39.78455220000
-96.24409597000,37.45384997000
-100.85129625000,37.19355976000
-96.01410943000,39.78379763000
-99.90348439000,39.78473526000
-95.73411357000,38.23711261000
-101.31987658000,38.00067747000
-98.20474107000,38.69684702000
-99.89794495000,38.08769817000
-100.36619703000,37.23857478000
-95.29332999000,38.21442456000
-96.52294487000,39.78397657000
-101.34736458000,38.48242231000
-101.30803080000,37.56240309000
-95.03790785000,39.19966636000
-96.24538676000,37.15021448000
-99.32506280000,39.35057376000
-98.08601571000,37.95328721000
-100.43788116000,37.73867215000
-96.20501899000,38.95360902000
-97.46093931000,37.68508344000
-95.79362650000,39.41712273000
