osm_id,code,fclass,name
358627522,3100,christian,Palmyra Church
358627618,3100,christian,Saint Pauls Church
358628071,3100,christian,Anchor Baptist Church
358628078,3102,christian_catholic,Saint Vincent de Paul Church
358628116,3100,christian,Bethel Church
358628138,3100,christian,Glendale Church
358628237,3100,christian,Friends Church
358628253,3100,christian,Chelsea Church
358628262,3100,christian,Upper Fall River Church
358628275,3100,christian,Utopia Community Church
358628294,3100,christian,Turkey Creek Church
358628305,3100,christian,Church of God
358628318,3100,christian,Salem Church
358628322,3100,christian,Iola Church
358628353,3100,christian,Golden Valley Church
358628376,3100,christian,Dry Ridge Church
358628387,3100,christian,Centerville Church
358628413,3100,christian,Fairview Church
358628530,3100,christian,New York Valley Church
358628538,3100,christian,Maple Grove Church
358628572,3100,christian,Jeddo Church
358628587,3100,christian,Paint Creek Church
358628590,3100,christian,Mount Orum Church
358628617,3100,christian,Pleasant Valley Church
358628629,3100,christian,Clarksburg Valley Chapel
358628688,3100,christian,Zion Church
358628733,3100,christian,Little Walnut Church
358628773,3100,christian,High Prairie Church
358628784,3100,christian,Zion Church
358628789,3100,christian,Colfax Church
358628791,3100,christian,Center Ridge Church
358628840,3100,christian,Big Creek Chapel
358628842,3100,christian,Bethel Church
358628886,3100,christian,Cherry Grove Church
358628906,3100,christian,Cumberland Church
358628909,3100,christian,Webster Church
358628910,3100,christian,Bloomington Church
358628970,3100,christian,Pleasant Valley Church
358628985,3100,christian,South Valley Chapel
358629130,3100,christian,Church of Christ
358629133,3100,christian,Saint John Church
358629141,3100,christian,Saint Pauls Church
358629194,3100,christian,Trinity Church
358629233,3104,christian_lutheran,Excelsior Church
358629263,3100,christian,Immanuel Church
358629267,3100,christian,American Church
358629278,3100,christian,Shannon Friends Church
358629413,3100,christian,Nekoma Church
358629462,3100,christian,Salem Church
358629467,3100,christian,Holy Name Church
358629470,3100,christian,Ebenezer Church
358629522,3100,christian,Bergtal Church
358629564,3100,christian,Ellinwood Church
358629590,3100,christian,Midland Church
358629594,3100,christian,Mennonite Church
